epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.24306625127792358,2.8182804584503174,0.7304581999778748,0.020878273993730545,0.3828016519546509,2.2832205295562744,0.8048780560493469,0.045769765973091125
1,0.3990755081176758,2.111128330230713,0.7643707990646362,0.11371340602636337,0.4687933325767517,1.927773356437683,0.8717948794364929,0.14147017896175385
2,0.459476113319397,1.8788729906082153,0.7760252356529236,0.18952234089374542,0.4812760055065155,1.7658156156539917,0.8383838534355164,0.23023578524589539
3,0.4975346624851227,1.7271461486816406,0.784869372844696,0.24537751078605652,0.5090152621269226,1.6854662895202637,0.8370044231414795,0.2635228931903839
4,0.5258089303970337,1.6442482471466064,0.7836232781410217,0.2845916748046875,0.5381414890289307,1.608046293258667,0.8307086825370789,0.2926490902900696
5,0.5436055660247803,1.5677306652069092,0.79574054479599,0.3166409730911255,0.5395284295082092,1.5729687213897705,0.8487972617149353,0.34257975220680237
6,0.5640215873718262,1.4958997964859009,0.8036885857582092,0.349152535200119,0.5464632511138916,1.501934289932251,0.8121019005775452,0.3536754548549652
7,0.5734977126121521,1.4535472393035889,0.7978141903877258,0.37118643522262573,0.567267656326294,1.450913906097412,0.8255451917648315,0.36754506826400757
8,0.5841294527053833,1.4117623567581177,0.808548092842102,0.3891371488571167,0.5686546564102173,1.441359043121338,0.803814709186554,0.40915393829345703
9,0.6000000238418579,1.370108723640442,0.8078975677490234,0.40824344754219055,0.5783633589744568,1.4229620695114136,0.8254438042640686,0.38696256279945374
10,0.6010785698890686,1.3491008281707764,0.8131035566329956,0.42164868116378784,0.5631067752838135,1.418868064880371,0.8028169274330139,0.3952843248844147
11,0.6070107817649841,1.3225669860839844,0.8028513789176941,0.42950692772865295,0.5783633589744568,1.3921229839324951,0.8296703100204468,0.4188627004623413
12,0.617257297039032,1.2929270267486572,0.8118686676025391,0.4458397626876831,0.582524299621582,1.3866136074066162,0.8310626745223999,0.4230235815048218
13,0.6169491410255432,1.2673429250717163,0.8065402507781982,0.4522342085838318,0.5922330021858215,1.3841359615325928,0.7783375382423401,0.4285714328289032
14,0.6328967809677124,1.2380986213684082,0.8128638863563538,0.462480753660202,0.6033287048339844,1.3582563400268555,0.8172839283943176,0.4590846002101898
15,0.6342835426330566,1.2197339534759521,0.8129269480705261,0.4767334461212158,0.5894590616226196,1.3910385370254517,0.8014888167381287,0.447988897562027
16,0.6402156949043274,1.208042860031128,0.8218836188316345,0.4820493161678314,0.5977808833122253,1.3328734636306763,0.8104265332221985,0.47434118390083313
17,0.643682599067688,1.1782890558242798,0.8232172727584839,0.4900616407394409,0.6074895858764648,1.3078246116638184,0.8153477311134338,0.4715672731399536
18,0.6473035216331482,1.1607435941696167,0.8198482990264893,0.49961480498313904,0.5950069427490234,1.3179247379302979,0.7943262457847595,0.4660194218158722
19,0.6547765731811523,1.140357494354248,0.8236835598945618,0.5085515975952148,0.6158113479614258,1.277571678161621,0.8135198354721069,0.484049916267395
20,0.6596301794052124,1.1307590007781982,0.8251662254333496,0.5163328051567078,0.6255201101303101,1.2761996984481812,0.8081534504890442,0.46740639209747314
21,0.6651001572608948,1.1168826818466187,0.8215108513832092,0.5219568610191345,0.6227461695671082,1.236706256866455,0.8120649456977844,0.48543688654899597
22,0.6677966117858887,1.109090805053711,0.8245614171028137,0.5214175581932068,0.6074895858764648,1.2682788372039795,0.7743362784385681,0.48543688654899597
23,0.6691063046455383,1.0912442207336426,0.8244814872741699,0.5298150777816772,0.633841872215271,1.2624585628509521,0.8220140337944031,0.4868238568305969
24,0.6708012223243713,1.0847766399383545,0.8289945125579834,0.5348228216171265,0.6227461695671082,1.2423774003982544,0.8084632754325867,0.5034673810005188
25,0.6716486811637878,1.0762115716934204,0.8314299583435059,0.5384437441825867,0.6158113479614258,1.299578309059143,0.7982456088066101,0.5048543810844421
26,0.6796610355377197,1.0505837202072144,0.830930233001709,0.5505393147468567,0.6171983480453491,1.2766627073287964,0.7863247990608215,0.5104022026062012
27,0.6812018752098083,1.0366636514663696,0.8255948424339294,0.5506933927536011,0.6310679316520691,1.236609935760498,0.7872806787490845,0.49791955947875977
28,0.6855161786079407,1.021769404411316,0.8313636183738708,0.5636363625526428,0.6213592290878296,1.2608702182769775,0.8191964030265808,0.5090152621269226
29,0.691756546497345,1.0139830112457275,0.8373816609382629,0.5657165050506592,0.6185852885246277,1.247970461845398,0.7864693403244019,0.515950083732605
